Timestamp,What is your current occupation?,How many years have you been working with fuzzing tools and/or fuzz driver development? ,How do you rate your experience with writing fuzz drivers?,"How do you rate your experience using OSS-Fuzz, Libfuzzer, and AFL?",How familiar are you with reading and understanding a large program in the following languages? [C],How familiar are you with reading and understanding a large program in the following languages? [C++],"How familiar are you with writing a program from start to finish in the following languages? (1=Not familiar, 2=Slightly familiar, 3=Somewhat familiar, 4=Very familiar, 5=Extremely familiar) [C]","How familiar are you with writing a program from start to finish in the following languages? (1=Not familiar, 2=Slightly familiar, 3=Somewhat familiar, 4=Very familiar, 5=Extremely familiar) [C++]","How familiar are you with modifying a large program in the following languages?  (1=Not familiar, 2=Slightly familiar, 3=Somewhat familiar, 4=Very familiar, 5=Extremely familiar)  [C]","How familiar are you with modifying a large program in the following languages?  (1=Not familiar, 2=Slightly familiar, 3=Somewhat familiar, 4=Very familiar, 5=Extremely familiar)  [C++]",Which country do you live in?,What type of software you develop/test?,How many years of experience you have with software development?,How did you gain your development skills?,"If you are a student, what university are you enrolled, and what is your subject?",Do you have a university degree?
2025/02/24 2:01:58 PM MST,Researcher / Academics,3-5 years,Expert,Advanced,5,5,5,4,5,4,0,Desktop applications;Embedded software;Enterprise applications,8,University;On-the-job;Self-taught,"Arizona State University, Computer Science Undergrad",No
2025/03/06 4:11:45 PM MST,Researcher / Academics,<3 years,Experienced,Advanced,5,4,4,3,4,4,United States,Desktop applications,8,University;Self-taught,"ASU, 3rd year PhD",Yes
2025/04/09 9:00:35 PM MDT,Researcher / Academics,3-5 years,Novice,Beginner,4,2,,,4,2,United States,cli tools and libraries,7,University;On-the-job;Free online courses;Self-taught,"ASU, Computer Science",Yes
2025/04/18 3:05:00 PM MDT,Researcher / Academics,<3 years,No experience,No experience,5,4,5,3,3,3,USA,Desktop applications,,University,ASU cybersecurity PhD,Yes
2025/07/21 2:16:25 PM MDT,Researcher / Academics,<3 years,No experience,Beginner,4,3,3,2,3,2,United States,Desktop applications,4,University;Self-taught,"Arizona State University, Computer Science and Mathematics",No
2025/07/22 2:01:14 PM MDT,Researcher / Academics,<3 years,No experience,No experience,4,3,3,2,3,2,United States,Desktop applications;Web applications;Mobile applications,10,University;On-the-job;Free online courses;Self-taught,UCLA Physics,No
2025/07/23 12:32:25 PM MDT,Researcher / Academics,<3 years,Experienced,Intermediate,4,4,4,4,4,4,,Desktop applications;Embedded software,,University;Self-taught,"UIUC, CS + Math",No
2025/08/22 3:49:15 AM MDT,Hobbyist,<3 years,Novice,Beginner,3,2,3,2,3,2,,Desktop applications,,University,,No
2025/08/25 7:17:21 AM MDT,Security Expert,<3 years,No experience,Beginner,3,1,1,1,1,1,Turkey,Desktop applications;Web applications;Mobile applications,2,Self-taught,no,No
2025/08/25 11:40:57 PM MDT,Student,<3 years,Novice,Beginner,3,2,3,1,3,1,United States Of America,Embedded software;Enterprise applications;Web3 validator,1,University;Self-taught,"Arizona State University, Bachelor of Science in Computer Science (Cybersecurity)",No
