Timestamp,What Fuzz Dojo and OSS-Fuzz projects did you work on?,What functions in the project did you try before achieving success and why did you choose them?  What fuzz driver files (ie: new_fuzzer.cc) did you modify?,2. Creating/modifying fuzz driver code and debugging compiling issues,3. Compiling the project and using different sanitizers,4. Resolving fuzzing issues such as slow operations and low coverage,5. Running the tools to check for improved code coverage,6. How would you compare the usability of the Fuzz Dojo challenges compared to the OSS-Fuzz challenges?,"Beyond compiling and checking for code coverage, what Fuzz Dojo features and tools did you find useful?","What actions did you take outside the platform? (for example: webpages, other tools)",Which features did you use?,Did you find any crashes when using the platform?,How would you rate the usability of the Fuzz Dojo?,"How would you rate the training videos, links, and exercises?","Different fuzzing environments lead to unstable/unreliable results. When these machines have different environments, the consistency of the fuzzing output can be affected or disrupted. Examples: different Python versions and different Linux builds.  (F1) ","Incompatibility between the fuzzing environment and the project leads to build failures. Compiler updates and versioning, specifically, can break fuzzing builds and require complex manual intervention from the developers to fix the problem. (F2) ",Bad fuzz drivers lead to fuzzing failure or inconsistent results. (F6),Issues with fuzzing test code lead to crashes/build failures. (F7),"Bugs in the fuzzer lead to build failures or abnormal / inconsistent fuzzing behaviors. This includes fuzzers not being able to detect known positive cases, generating false positives, reporting the wrong type of failure, or simply crashing. (F8)",Incorrect use of the corpus leads to fuzzing failures or low coverage. (F9),"Issues with the build tools or external dependencies lead to crash/build failures. For example, docker images have grown too big over time. (F10)",Issues in the corpus (such as unreadable or bad data) lead to build failures or unreliable results. (F11),"Developers have difficulties generating the correct inputs or targeting specific parts of the software. For example, a fuzz driver achieving only shallow coverage or being unable to pass strict pre-condition checks. (F15) ","Developers have difficulties in setting up, building, or using the fuzzer. This includes breaking the build, not fuzzing the right fuzz target, causing the fuzzer to use too much memory, and many other issues. (F16)","Documentation on how to use the fuzzer is missing/ insufficient. For example, finding information on how to utilize optional features of a fuzzing tool. (F17)","Messages/information generated by fuzzers is missing / confusing/unhelpful. For example, crushing outputs are found but not reported. (F18)","Bad code design limits the ability to fuzz. This includes insufficient segmentation/separation of the target code, monolithic design, and assumptions about intended behavior, often requiring tests be done on the full system. (F20)",Developers have difficulties writing/understanding and debugging fuzzing code. (F21),Developers have difficulty deciding which parts of the software to fuzz. (F22),Have you encountered other challenges not mentioned in this survey?,Do you have any general suggestions for how the platform or the fuzzing process could be improved?
2025/04/09 9:00:10 PM MDT,elfutils,"I chose functions related to dwarf parsing, I went through the fuzz-introspector undiscovered complexity and saw those weren't being covered. I ended up fuzzing functions related to getting location information from variables.","I didn't have many issues with this, the rebuild command worked well","I compiled it using /challenge/build, I didn't try different sanitizers",I did notice the harness is somewhat slow and coverage was just below the needed amount but I just made some changes to the corpus and called a few more library functions to get the required coverage.,"running /challenge/loc was pretty slow, a lot of my time was spent waiting for it to finish",I stopped when I got the flag,"the report feature, to view what parts of my harness and the target were hit","I looked at the source code repo, searched for uses of some library functions on github, and checked fuzz-introspector","""LOC"" coverage calculators;Fuzz Introspector;Corpus",No,4,4,5 - Never,5 - Never,5 - Never,4 - Rarely,3 - Sometimes,3 - Sometimes,5 - Never,4 - Rarely,3 - Sometimes,3 - Sometimes,4 - Rarely,4 - Rarely,4 - Rarely,3 - Sometimes,3 - Sometimes,"sometimes a few of the harnesses would break, e.g., the /challenge/loc command would report them finding no coverage, I'm not sure what the cause was, restarting the challenge fixed it","it could be nice if the existing harnesses didn't always get executed on /challenge/loc, it takes a while to evaluate the coverage from all of the harnesses when most of the time I only wanted to check if the coverage improved from changes to my harness"
2025/09/15 1:33:33 PM MDT,unrar and boost,"unrar was almost entirely unfuzzed, which was odd, so I fuzzed the command line parser (which with sanitizers on finds some spicy bugs already). For boost the project was well-covered already for the most part so it was painful to improve coverage by finding new functions to cover. Instead it was far better to add seed corpora, to improve e.g. fuzzing of json and regex parsing.","unrar was small and trivial to compile, so the turnaround for making a change and seeing how well it compiled and fuzzed was short. boost was a nightmare with multiple fuzzers and a long build time. If I wanted to try a change to see if it really would improve coverage the turnaround was very lengthy.","compiling out of the box was very easy with both versions, though I don't know how I would enable address sanitizer with the fuzz-dojo version","this was project specific as well, for unrar this was trivial but for boost this was a nightmare. ",,"for unrar, when I felt the command line parser was covered. for boost, when I finally got the flag as I was sick of boost by that point","The simplicity of the fuzz-dojo commands are a blessing in themselves. They map very well to the happy path of ""build"" ""coverage check"" and ""see the breakdown in the report"", which is the majority of what I wanted to do","I checked the public introspector for the current oss-fuzz projects, to check if the projects I got were up to date and see where there was already some improvements. There wasn't, though boost somehow had more coverage (smarter corpora perhaps?) but checking upstream is something I'd do anyway.","""LOC"" coverage calculators;Fuzz Introspector;Corpus;Address Sanitizer;Memory Sanitizer",No,4,3,5 - Never,5 - Never,3 - Sometimes,5 - Never,4 - Rarely,2 - Often,5 - Never,2 - Often,2 - Often,5 - Never,3 - Sometimes,5 - Never,2 - Often,2 - Often,2 - Often,,
2025/09/25 4:11:06 PM MDT,casync,"Function before achieving success: ca_compress
Reason: It is the parent of other compression functions.
Function for fuzz harnesses: N/A or I don't understand the question.",fuzz-dojo is straight-forward. However oss-fuzz dojo is not good. I didn't know if I should modify /src-none or /src-orig.,"The build lock file (/tmp/build.lck) cannot be deleted by normal user. If I accidentally Ctrl-C a long running build command, I cannot run the next build, unless I restart the challenge. ",Use fuzz-introspector,Use /challenge/loc or infra/help.py coverage,When /challenge/loc gives me flags.,It gives me a working directory at ~/fuzz-dojo/ and copy files to respectively /src-* dir.,oss-fuzz introspector site.,"""LOC"" coverage calculators;Fuzz Introspector;Dictionary",No,3,4,4 - Rarely,5 - Never,5 - Never,5 - Never,5 - Never,5 - Never,5 - Never,5 - Never,5 - Never,5 - Never,3 - Sometimes,5 - Never,5 - Never,5 - Never,4 - Rarely,No,First few practice challenges have /challenge/loc requires increasing coverage. But simply running /challenge/training is enough to get the flag.
2025/10/03 8:24:46 AM MDT,Vorbis and Kamailio,"In Kamailio I tried LOADS of functions. I spent a long time trying to get main2 and yyparse to fuzz but there was so much global state that the fuzzer kept crashing and I couldn't work around it.
Eventually I made lots of different drivers but the biggest contributions came from:
1. pp_substdef_add
2. pp_subst_run
3. fix_rval_expr
4. sr_kemi_core_match_method_id (Lots of individual sr_kemi methods are in the fuzzer)

In Vorbis I chose vorbis_analysis_wrote as I wanted to hit mapping0_forward as it was high on the list of functions to be fuzzed for vorbis according to the oss-fuzz project ","Lots of issues when the functions were dealing with shared memory and global variables. There were lots of functions that looked appealing that were inline static and I struggled to know how to actually fuzz it.
The function I struggled to fuzz and gave up on was yyparse, it would just hang no matter what I tried when trying to fuzz it",I didn't use different sanitizers. For compilation I ended up declaring a lot of the functions in my fuzzer and linking to the library as they weren't declared in header files (this didn't work for static functions).,I'm afraid if it wasn't obvious I'd turn to chatgpt and if that didn't help I'd look for another function to fuzz,"Running /challenge/loc was simple enough although I had to do a bit of searching of the scripts to see how to provide a .options file so I could get them to run in fork mode.
Also /challenge/loc would hang on one of my fuzzers so I had to manually wait until it hung, press ctrl+c and then it would proceed

Once I figured out how to use the infra/helper.py for oss-fuzz that was quite smooth.",fuzz dojo was simpler until trying to get it to do something that wasn't the default behaviour e.g. fork and ignore_crashes. Once I understood oss-fuzz I preferred it personally as I felt it was something I could go away and use outside of the dojo,Once I found the options file option I liked that,"I would use chatgpt to help identify a good target from a source file and get advice on how to fuzz it, if it wasn't at simple as just pass it the fuzz data.
I'd also use the oss-fuzz project pages to identify possible good functions to call","""LOC"" coverage calculators",Yes,3,4,4 - Rarely,4 - Rarely,1 - Always,1 - Always,5 - Never,5 - Never,5 - Never,5 - Never,1 - Always,1 - Always,2 - Often,4 - Rarely,2 - Often,1 - Always,2 - Often,"I found it tough to fuzz targets that were inline static functions.

I wasn't sure if I was allowed to change the source code of the project I was fuzzing so I didn't",I think an example of fuzzing a difficult function would be awesome. Something like yyparse in the Kamailio project as I was absolutely stumped in figuring out how to do that.
2025/10/03 3:12:14 PM MDT,"avahi, unrar, snappy, cjson, lighttpd1.4, tmux","I chose functions which were easily callable, having few arguments. Arguments mostly were strings and integers, but there were some cases when I had to pass structs. By choosing these functions I tried to maximize the line coverage. I modified new_fuzzer driver. If there was not such, I modified the existing one. ","I had no problems with creating or modifying the fuzz drivers, except Level 1.0 Practice. It didn't create a directory in fuzz-dojo where I could modify the harness. I had to search for the fuzz driver in the other places, which took me a while.",No problems,"Adding a few functions made the coverage grow sufficiently. Only tmux challenge made me call a vast amount of functions, since each of them was slightly increasing the total line coverage.",No problems,"Fuzz Dojo challenges made it easy to build, run and report. In the beginning, for OSS-Fuzz challenges I struggled to execute commands in the correct order. Once I figured it out everything went well. ",I liked that command execution was easy.,I had to look into source codes and introspector reports.,"""LOC"" coverage calculators;Fuzz Introspector;Corpus",Yes,5,5,5 - Never,5 - Never,3 - Sometimes,3 - Sometimes,3 - Sometimes,I don't know,3 - Sometimes,I don't know,4 - Rarely,4 - Rarely,I don't know,4 - Rarely,4 - Rarely,4 - Rarely,4 - Rarely,No,Add more challenges
2025/10/05 2:33:27 PM MDT,"cjson, unrar, openjpeg","For example, in openjpeg I looked at the coverage report, chose the file that had the most lines but least coverage, picked the functions that were the biggest and searched for calls to those functions in other functions ""going up the tree"". In this case I ended up with compress and decompress functions, so if I fuzzed them, I would get the most coverage gain.",Modifying fuzz drivers and debugging compiler issues was straightforward,Compiling the project was really simple and I faced no issues here,"After modifying the fuzz driver, I repeatedly observed zero coverage in the reports. The root cause was that the driver wasn’t exercising the instrumented code paths, so the fuzzer never generated or saved any coverage-increasing inputs. Since no interesting inputs were added to the corpus to reach new code paths, the coverage report correctly showed 0%. Once I understood this, everything became clear. The reason why we sanitize it for coverage after fuzzing is that sanitized code runs much slower, and saving the only inputs that increase the coverage will be fewer and running them less time-consuming.","It took a lot of time to build the projects every time, with and without sanitizer, to check the improvement after also waiting 30 seconds for the fuzzer to finish. I would say 80% of the time was taken by the building process.","I had fewer problems with Fuzz Dojo challenges compared to OSS-Fuzz challenges, since in Fuzz Dojo challenges, we just run one command and it does everything for us, whereas in OSS-Fuzz challenges, I couldn't pinpoint if the problem was me not knowing how to build and run the fuzzer or if something was wrong with the challenge, etc.","I liked that we were given a directory where we should have changed the fuzz driver. It was really hard to know which src-* directories I should have changed in OSS-Fuzz challenges(made debugging even harder). Also, I liked the building tools; I could just run them, and it would do everything on its own while I was doing something else.","I used LLM (ChatGPT) to help me write a fuzz driver. I gave it the functions to call, and it wrote everything correctly, so I wouldn't waste more time figuring out the correct way to call those functions.","""LOC"" coverage calculators;Fuzz Introspector",No,4,5,5 - Never,5 - Never,3 - Sometimes,I don't know,5 - Never,3 - Sometimes,5 - Never,5 - Never,I don't know,5 - Never,4 - Rarely,I don't know,5 - Never,4 - Rarely,5 - Never,No,No
2025/10/19 7:21:05 PM MDT,snappy & guetzli,"Well, it was hinted for targeting iovec inside snappy, but at first I played around mostly with uncovered uncompress paths while trying to replicate your style of thought. I'm not at all familiar with C++ though and it was hard to get all of these attempts compiled. I did manage to make some big boosts by myself, but I did have to try finding resources for what even are iovecs. I fully intend on revisiting this again because it was very fun thanks to your guidance! My current solution is an absolute slop mess but I want to take the time to really try to understand what's going on and make an improvement I can feel proud of. I've learned a ton though and am now prepared to fuzz in the future! These projects are fun puzzles and a fantastic opportunity to learn many different concepts quick through trial by fire.","Thanks to the instructor, I was able to learn most of what I needed when issues arose. The fuzz dojo still had some quirks(e.g. the last training solution feels awkward to get to), but I found the alternate tooling you made for us easier to use than the standard default route.",I didn't really use any other sanitizers other than what you had for default. I managed to overcome any issues regarding the dojo itself pretty quick. I don't know how to utilize the other sanitizers for benefiting yet.,The case studies did really well at showing what to do! I have nothing else to contribute to the optimizations as I'm extremely new to this.,"If I remembered to use rebuild instead of outright going, the tools made things very easy!","Much more convenient, though on my main machine, I'd likely prefer to use OSS-Fuzz, as I want to be able to have more control over things personally. However, if the dojo concept magically could assume how to make additional fuzz drivers work, it'd be a no brainer.",The rebuild was useful and abstraction of injecting fuzzers was really convenient. (Though I really appreciate you kicking us out of the bird nest fast!!),"Before getting started with the dojo, I tried looking into fuzzing through hunter's dojo (just pwn.college archive), but that wasn't really much of learning. So, I started reading the newly released book ""from day zero to zero day"". I'm not done with reading it, but it helped me understand a lot of what to do here, as I felt too clueless how to approach prior; though I do not blame the dojo for this, as it was more of I lacked manual code analysis understanding.

Also, at the end I tried AI admittedly, and it near one shot the guetzli challenge, but I believe because I took quality notes on your videos(tried my best to pay attention! This was a very intimidating concept for me prior.), I was able to apply the understanding for crafting a prompt containing the necessary heavily informative context in order for it to succeed. This is definitely not infallible; it'll create issues that weren't there and why it's important for human supervision. I'm not quite sure how I could've succeeded in the guetzli challenge elsewise though, given what it was and how much coverage existed already.","""LOC"" coverage calculators;Fuzz Introspector",No,4,5,4 - Rarely,4 - Rarely,3 - Sometimes,2 - Often,I don't know,I don't know,3 - Sometimes,5 - Never,I don't know,I don't know,4 - Rarely,3 - Sometimes,I don't know,I don't know,I don't know,Nothing immediately comes to mind. I hope my answers were adequate!,"If you're new to low level programming, even after completing the main pwn.college curriculum, code analysis can be incredibly intimidating. There's so much going on and it's hard to figure it out. You did a fantastic job showing your mental approach to these challenges, but I feel something could be developed further, whether it be introducing automated forms of code analysis, using proper terminology, I'm not sure. But these are my own anxieties speaking, ones that I must practice vulnerability researching in order to overcome; I'm new to this all!"
2025/10/20 10:58:27 PM MDT,Vorbis and zlib,,,,,,,,,"""LOC"" coverage calculators;Fuzz Introspector",Yes,5,5,3 - Sometimes,1 - Always,2 - Often,2 - Often,2 - Often,2 - Often,I don't know,4 - Rarely,I don't know,3 - Sometimes,2 - Often,4 - Rarely,2 - Often,I don't know,3 - Sometimes,,
2025/10/21 10:32:06 PM MDT,Fuzz Dojo: fuzz~c7f7b8c2. Introduction to Fuzzing and Real World Fuzzing. Projects: All projects (Level 2.0 and 2.1),"In the project I targetted encoding functions because the fuzzers were just doing decoding and decompression. The report showed that the encoding modules like dwt.c and all had 0% coverage. Also the description mentioned that encoding functions were not covered.
I did not modify existing fuzzers. I created a new file encode_fuzzer.cpp that creates image data from fuzzer input and calls opj_encode() instead of opj_decode(). This went through the entire encoding pipeline that had no testing before, which took the coverage from 5% to over 22%.","I used encode_fuzzer.cpp by writing code that initializes an opj_image_t structure, encoding options, and then calls the OpenJPEG compression routines.
It crashed at first because I had not initialized the output stream with write, seek and skip callback functions. The encoder tried to write into a NULL stream that caused a segfault.
I fixed it by making a MemStream structure with a memory buffer and calling mem_write, mem_seek, and mem_skip callback functions. Then I had registered these callbacks correctly with opj_stream_set_write_function, opj_stream_set_seek_function, and opj_stream_set_skip_function prior to calling opj_encode. That allowed the encoder to write to memory instead of crashing.",I constructed the project with ./rebuild that adheres to the build script. I don't know why the terminal was simply showing build in progress all the time even if it wasn't. Restarting the environment fixed it. The project already had the settings to compile with sanitizers. I made no edits to sanitizer settings. The fuzzer used UndefinedBehaviorSanitizer automatically that is why it was able to catch the segfault in my original version and print the crash along with the stack trace. I used whatever sanitizers were already configured in the build system.,"The main issue was really low coverage at 5% because all the existing fuzzers were only testing the decoding side of the library. When I looked at the coverage reports, I noticed huge parts of the code like the encoding functions had zero coverage.
To fix this, I made a new fuzzer that does encoding instead of decoding. The idea was to take random data from the fuzzer, use it to create a fake image, and then try to compress it. This way the fuzzer would actually run through all the encoding code that wasn't being tested before.
The first time I tried it crashed pretty quickly because I messed up the stream setup. I had to add proper callback functions so the encoder could actually write its output somewhere. After fixing that, it ran fine and the coverage went to 22% which was enough to pass the challenge.",I just ran ./loc command to check the coverage percentage. It showed the initial coverage was 5% and after running my encode_fuzzer it went 22%. The tool automatically compared it against the target and showed that I passed the requirement.,I think OSS-Fuzz challenges are kind of harder.,"The ./fuzz-introspector command was helpful because it showed me which functions and files weren't being covered. The coverage reports in JSON format were also useful but of course, the full webpage that showed detailed coverage report was too good as well. 
I could see the percentages for each file and figure out that what functions had 0% coverage.",The resources (links) that were provided in the challenge (official google website) were helpful. I also took help of AI for challenges that were being too difficult and my code was not working well for them. I understood where my code changes were lacking behind and used the concepts in further challenges.,"""LOC"" coverage calculators;Fuzz Introspector;Corpus;Undefined Behavior Sanitizer",Yes,4,4,5 - Never,5 - Never,3 - Sometimes,3 - Sometimes,5 - Never,5 - Never,5 - Never,5 - Never,3 - Sometimes,4 - Rarely,4 - Rarely,4 - Rarely,5 - Never,2 - Often,2 - Often,"Yes, it was difficult to start the coverage report server twice in the same session. Like, when we start it once and then kill it, and try to start it again later, the webpage either says socket hanged or 404. This happened even after killing port 8008.",I believe fixing small network related issues like I mentioned earlier would be great. Overall the fuzzing process was really good.
2025/10/22 12:43:46 AM MDT,"only oss-fuzz ( LibreOffice , json, libpng, etc)",I don't recall.,Of course,Generally use asan,I use a privately modified parallel version of aflpp.,yes,,,,"""LOC"" coverage calculators;Corpus;Dictionary;Address Sanitizer;Memory Sanitizer;Undefined Behavior Sanitizer;Private Kasan implementation",,,,4 - Rarely,2 - Often,3 - Sometimes,2 - Often,5 - Never,1 - Always,3 - Sometimes,3 - Sometimes,2 - Often,3 - Sometimes,4 - Rarely,5 - Never,2 - Often,2 - Often,4 - Rarely,"Closed-source programs, non-host architecture programs, bare-metal programs, and drivers",
